source,target,weight
long,rewatches,1
time,much,1
human,emotion,1
human,reality,1
weird,molester,1
child,molester,1
original,wonderment,1
original,beauty,1
original,film,1
original,making,1
wonderment,true,1
beauty,true,1
true,film,1
true,making,1
music,great,1
great,kid,1
great,favorite,1
great,tunes,1
great,day,1
reason,classic,1
classic,wizard,1
classic,oz,1
tim,twisted,1
tim,bad,1
burton,twisted,1
trilogy,human,1
wars,human,1
star,human,1
view,horror,1
mind,classic,1
mind,overactive,1
classic,film,1
classic,ego,1
classic,director,1
film,overactive,1
overactive,ego,1
overactive,director,1
burton,horror,1
child,horror,1
world,horror,1
latest,reality,1
music,key,1
music,bad,1
visuals,latest,1
visuals,human,1
cgi,latest,1
cgi,human,1
latest,star,1
latest,wars,1
latest,trilogy,1
latest,emotion,1
burton,bad,1
johnny,twisted,1
johnny,bad,1
mysterious,bit,1
whereas,good-hearted,1
whereas,serious,1
wilder,mysterious,1
wilder,mischievous,1
wilder,good-hearted,1
wilder,serious,1
wonka,mysterious,1
wonka,mischievous,1
wonka,good-hearted,1
wonka,serious,1
mysterious,depp,1
whereas,mysterious,1
mysterious,amount,1
mysterious,cocaine,1
bit,mischievous,1
bit,good-hearted,1
bit,serious,1
mischievous,depp,1
mischievous,amount,1
mischievous,cocaine,1
good-hearted,depp,1
good-hearted,amount,1
whereas,mischievous,1
wonderful,role,1
twisted,men,1
willy,open,1
twisted,load,1
twisted,garbage,1
twisted,egg,1
men,bad,1
load,bad,1
garbage,bad,1
bad,egg,1
disappointed,movie,1
gene,open,1
wilder,open,1
wonka,open,1
wonderful,wilder,1
view,open,1
film,open,1
open,mind,1
nice,try,1
johnny,wonderful,1
depp,wonderful,1
wonderful,movies,1
wonderful,right,1
wonderful,candle,1
wonderful,gene,1
brilliance,first,1
magic,first,1
wonka,first,1
juice,predictable,1
whole,thing,1
burton,cartoonish,1
burton,predictable,1
style,cartoonish,1
style,predictable,1
masterpieces,cartoonish,1
masterpieces,predictable,1
beetle,cartoonish,1
beetle,predictable,1
juice,cartoonish,1
edward,cartoonish,1
film,unwarranted,1
edward,predictable,1
scissorhands,cartoonish,1
scissorhands,predictable,1
cartoonish,seam,1
cartoonish,sleepy,1
cartoonish,hollow,1
predictable,seam,1
predictable,sleepy,1
predictable,hollow,1
wonka,high-pitched,1
previews,whole,1
classic,film,1
high-pitched,jerk,1
characters,well-written,1
reason,much,1
willy,much,1
wonka,much,1
chocolate,much,1
factory,much,1
place,much,1
heart,much,1
much,thought,1
much,discussion,1
much,rewatches,1
gene,brilliant,1
remake,unwarranted,1
gene,top,1
wilder,brilliant,1
wilder,top,1
brilliant,wonka,1
brilliant,performances,1
brilliant,century,1
wonka,top,1
top,performances,1
top,century,1
remake,classic,1
depp,high-pitched,1
clean,appearance,1
willy,first,1
list,wrong,1
chunk,long,1
chunk,wrong,1
long,list,1
long,things,1
long,principle,1
long,willy,1
long,wonka,1
long,magic,1
long,brilliance,1
long,place,1
things,wrong,1
small,brilliance,1
wrong,principle,1
wrong,willy,1
wrong,wonka,1
wrong,magic,1
wrong,brilliance,1
wrong,place,1
first,willy,1
first,wonka,1
first,magic,1
first,brilliance,1
small,place,1
small,magic,1
make-up,appearance,1
everything,suspect,1
heavy,appearance,1
appearance,unattractive,1
whole,film,1
whole,creepy,1
whole,cheesy,1
whole,half,1
film,cartoonishly,1
cartoonishly,creepy,1
cartoonishly,cheesy,1
cartoonishly,half,1
everything,cold,1
small,wonka,1
screen,suspect,1
screen,cold,1
conclusion,small,1
conclusion,long,1
conclusion,wrong,1
small,chunk,1
small,list,1
small,things,1
small,principle,1
small,willy,1
strange,anyone,1
disjointed,film,1
disjointed,anyone,1
heal,re-unite,1
first,dad,1
first,piece,1
first,treacle,1
first,factory,1
flashback,touch,1
flashback,little,1
flashback,wounded,1
flashback,re-unite,1
flashback,worst,1
flashback,poisoned,1
wonka,touch,1
wonka,little,1
wonka,wounded,1
dentist,touch,1
dentist,little,1
dentist,wounded,1
dentist,re-unite,1
father,touch,1
father,little,1
father,wounded,1
father,re-unite,1
father,worst,1
father,poisoned,1
first,psyche,1
first,heal,1
first,somehow,1
elderly,darkness,1
older,dahl,1
older,witty,1
older,disdain,1
older,adult,1
older,world,1
everyone,elderly,1
child,elderly,1
adult,elderly,1
elderly,person,1
elderly,visions,1
elderly,product,1
first,charlie,1
elderly,melancholy,1
elderly,cynicism,1
goodness,meaningful,1
meaningful,badness,1
first,flashback,1
first,father,1
first,chrisopher,1
first,lee,1
first,wonderful,1
first,film,1
chrisopher,touch,1
chrisopher,little,1
chrisopher,wounded,1
little,dad,1
film,wounded,1
film,re-unite,1
film,worst,1
film,poisoned,1
little,charlie,1
little,somehow,1
little,heal,1
little,psyche,1
little,wonka,1
little,dentist,1
little,piece,1
touch,factory,1
little,treacle,1
little,factory,1
charlie,wounded,1
charlie,re-unite,1
charlie,worst,1
charlie,poisoned,1
somehow,wounded,1
somehow,re-unite,1
somehow,worst,1
somehow,poisoned,1
film,little,1
touch,treacle,1
chrisopher,re-unite,1
wonderful,wounded,1
chrisopher,worst,1
chrisopher,poisoned,1
lee,touch,1
lee,little,1
lee,wounded,1
lee,re-unite,1
lee,worst,1
lee,poisoned,1
wonderful,touch,1
wonderful,little,1
wonderful,re-unite,1
touch,piece,1
wonderful,worst,1
wonderful,poisoned,1
touch,film,1
touch,charlie,1
touch,somehow,1
touch,heal,1
touch,psyche,1
touch,wonka,1
touch,dentist,1
touch,dad,1
older,truer,1
older,darker,1
burton,older,1
wilder,real,1
gratuitous,reference,1
gratuitous,film,1
surprising,warmth,1
surprising,gene,1
surprising,wilder,1
surprising,mind,1
surprising,willy,1
surprising,wonka,1
warmth,real,1
gene,real,1
mind,real,1
perkins,gratuitous,1
real,willy,1
real,wonka,1
factory,vast,1
factory,impersonal,1
factory,single,1
factory,emotional,1
assembly,vast,1
assembly,impersonal,1
assembly,single,1
assembly,emotional,1
gratuitous,psycho,1
anthony,gratuitous,1
lines,impersonal,1
frightening,mixture,1
film,untrue,1
untrue,book,1
untrue,film,1
untrue,cheap,1
book,unimaginative,1
book,eye-candy,1
cheap,unimaginative,1
cheap,eye-candy,1
depp,frightening,1
depp,gratuitous,1
frightening,pee,1
herman,gratuitous,1
frightening,wee,1
frightening,herman,1
frightening,anthony,1
frightening,perkins,1
frightening,psycho,1
frightening,reference,1
frightening,film,1
mixture,gratuitous,1
pee,gratuitous,1
wee,gratuitous,1
lines,vast,1
lines,single,1
production,older,1
kids,good,1
sure,willie,1
sure,wonka,1
sure,boy,1
sure,speaking,1
sure,lines,1
sure,grandpa,1
sure,joe,1
sure,occasions,1
sure,fun,1
sure,viewers,1
excellent,background,1
sure,kids,1
willie,good,1
wonka,good,1
good,boy,1
good,speaking,1
good,lines,1
good,grandpa,1
good,joe,1
good,occasions,1
good,fun,1
good,viewers,1
sure,brats,1
emotional,truth,1
lines,emotional,1
steroids,single,1
edward,vast,1
edward,impersonal,1
edward,single,1
edward,emotional,1
scissorhands,vast,1
scissorhands,impersonal,1
scissorhands,single,1
